"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.228491625E0,-1.829794922E0,9.605974274E0,-4.384382629E-1
4.248532625E0,-1.888772278E0,9.597292328E0,-3.992198181E-1
4.268574625E0,-1.919009399E0,9.599986725E0,-4.769082642E-1
4.288615625E0,-1.873354340E0,9.589059448E0,-4.703219604E-1
4.308657625E0,-1.881587219E0,9.610914001E0,-4.032614136E-1
4.328698625E0,-1.947749634E0,9.616153107E0,-4.724176025E-1
4.348740625E0,-1.890718231E0,9.593550110E0,-4.819976807E-1
4.368781625E0,-1.800455933E0,9.592651978E0,-4.766088867E-1
4.388823625E0,-1.791175232E0,9.576485596E0,-4.996609497E-1
4.408864625E0,-1.835333405E0,9.556576996E0,-3.929328918E-1
4.428905625E0,-1.828896790E0,9.564510498E0,-4.128414917E-1
4.448947625E0,-1.855691071E0,9.524992676E0,-5.146298218E-1
4.468988625E0,-1.848056946E0,9.558972015E0,-3.637435913E-1
4.489030625E0,-1.864073639E0,9.553732910E0,-5.120851135E-1
4.509071625E0,-1.890119476E0,9.583071899E0,-4.778063965E-1
4.529113625E0,-1.878743134E0,9.555529175E0,-4.400848389E-1
4.549154625E0,-1.892664185E0,9.569899292E0,-4.532574463E-1
4.569196625E0,-1.871707764E0,9.556277618E0,-4.180805969E-1
4.589234500E0,-1.782792664E0,9.553732910E0,-4.971162415E-1
4.609276500E0,-1.801803131E0,9.586963806E0,-3.752696228E-1
4.629317500E0,-1.834135895E0,9.581724701E0,-3.661386108E-1
4.649359500E0,-1.843416595E0,9.568552094E0,-3.984713745E-1
4.669400500E0,-1.810934143E0,9.629325714E0,-3.878434753E-1
4.689442500E0,-1.751807098E0,9.612410889E0,-3.695814514E-1
4.709483500E0,-1.815574493E0,9.554181976E0,-4.652325439E-1
4.729525500E0,-1.814975739E0,9.647138672E0,-3.390449524E-1
4.749566500E0,-1.854493561E0,9.621691589E0,-4.558021545E-1
4.769607500E0,-1.874851227E0,9.615105286E0,-3.564088440E-1
4.789649500E0,-1.845063171E0,9.573940887E0,-5.077441406E-1
4.809690500E0,-1.926194458E0,9.585766296E0,-4.667294312E-1
4.829732500E0,-1.938618622E0,9.609117737E0,-4.233197021E-1
4.849773500E0,-1.928589478E0,9.600136414E0,-5.457650757E-1
4.869815500E0,-1.970801697E0,9.600136414E0,-4.778063965E-1
4.889856500E0,-1.921254730E0,9.570498047E0,-4.986131287E-1
4.909898500E0,-1.871558075E0,9.567504272E0,-4.724176025E-1
4.929939500E0,-1.856738892E0,9.530531158E0,-4.986131287E-1
4.949981500E0,-1.862576752E0,9.580377502E0,-4.725672913E-1
