"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.674045750E0,4.267910123E-2,-5.196380988E-2,4.314337298E-2
2.694089750E0,4.246793315E-2,1.152437553E-1,3.152583539E-2
2.714133750E0,1.236087531E-1,3.699122667E-1,6.497338414E-3
2.734177750E0,2.028084248E-1,4.777405262E-1,-2.920148661E-3
2.754221750E0,1.968040466E-1,3.461061716E-1,-1.120410115E-2
2.774265750E0,1.268487126E-1,1.474181116E-1,-2.489694394E-2
2.794309750E0,4.679943435E-3,-4.314075783E-2,-7.440041006E-2
2.814354750E0,-2.012958564E-2,-9.462627769E-2,-8.125245571E-2
2.834398750E0,6.290253252E-2,-1.753883623E-2,-3.523071483E-2
2.854442750E0,1.645104140E-1,1.377163827E-1,6.579990033E-3
2.874486750E0,2.220300436E-1,2.613640428E-1,2.945940942E-2
2.894530750E0,1.653864384E-1,2.389662415E-1,1.041447185E-2
2.914574750E0,6.061308086E-2,1.481685787E-1,-1.004917827E-2
2.934618750E0,-7.251030765E-3,5.486979708E-2,-1.736978628E-2
2.954663750E0,-2.004405111E-2,6.039090455E-3,-1.162726060E-2
2.974707750E0,-4.019476473E-4,1.259992830E-3,-6.403563544E-3
2.994751750E0,2.251835167E-2,1.213868149E-2,-5.238195881E-4
3.014795750E0,4.168065265E-2,2.107482404E-2,4.124944098E-3
3.034839750E0,3.939103708E-2,9.455176070E-3,2.720301971E-3
3.054883750E0,2.333822288E-2,-1.379752532E-2,-2.574249636E-3
3.074927750E0,-1.619551098E-3,-3.869829327E-2,-6.821099203E-3
3.094972750E0,-7.795299403E-3,-4.707510397E-2,-5.791240372E-3
3.115016750E0,-1.349404640E-2,-3.928690031E-2,-3.560106037E-3
3.135060750E0,-1.636207104E-3,-2.999358438E-2,-1.609012019E-3
3.155104750E0,1.269960217E-2,-2.001269162E-2,-3.995003644E-4
3.175148750E0,9.200085886E-3,4.218467511E-4,-1.919114497E-3
3.195192750E0,1.407676260E-3,1.025585225E-3,-4.350846633E-3
3.215236750E0,-5.613731220E-3,-7.373773959E-3,-5.564696155E-3
3.235281750E0,-9.135692380E-4,-2.502502874E-2,-4.048720002E-3
3.255325750E0,6.867040880E-3,-2.270525880E-2,2.702206373E-3
3.275369750E0,9.570913389E-3,-1.797505654E-2,4.764150828E-3
3.295413750E0,5.193174817E-3,-1.403794251E-2,2.495794557E-3
3.315457750E0,2.389768604E-3,-2.131232060E-2,-3.728919663E-3
3.335501750E0,8.314376464E-4,-3.309755400E-2,-4.029918928E-3
3.355545750E0,-8.274517022E-4,-2.956988290E-2,-3.288181033E-3
3.375590750E0,-1.590134576E-3,-1.721414179E-2,-1.006605104E-3
3.395634750E0,-4.001329653E-4,-1.665651612E-2,-3.871116787E-4
3.415678750E0,6.931441603E-4,-2.957674861E-2,7.355727721E-4
3.435722208E0,1.938014757E-4,-2.149964683E-2,-2.412017202E-3
3.455766208E0,-2.265408169E-3,-6.870643701E-3,-1.646937104E-3
3.475810208E0,-5.411770195E-3,-5.972938146E-3,-6.056491286E-3
3.495854208E0,-3.884308971E-3,-1.366319787E-2,-6.238085218E-3
3.515898208E0,-7.121218834E-3,-2.219414711E-2,-8.636686020E-3
3.535943208E0,3.162583802E-3,-1.868548244E-2,-5.521101877E-3
3.555987208E0,1.274513546E-2,2.832487691E-3,-7.651506457E-3
3.576031208E0,2.754960582E-2,1.244298182E-2,-1.215180941E-2
3.596075208E0,2.881003357E-2,-5.555997137E-3,-8.307848126E-3
3.616119208E0,2.018929087E-2,-1.177702099E-2,-7.737387903E-3
3.636163208E0,1.035259105E-2,-1.780402660E-2,-6.140867248E-3
3.656207208E0,-2.849797020E-3,-1.594471186E-2,-4.238447174E-3
3.676251208E0,-1.493130811E-2,-1.965460554E-2,-2.647661837E-3
3.696296208E0,-2.490325458E-2,-2.840223908E-2,-2.107524779E-3
3.716340208E0,-2.247193456E-2,-4.125635326E-2,-4.571494646E-4
3.736384208E0,-1.659730822E-2,-4.745971411E-2,-1.092140330E-3
3.756428208E0,-1.306319423E-2,-4.271812364E-2,-1.185411122E-3
3.776472208E0,-1.198535506E-2,-4.619870335E-2,-3.200143110E-3
3.796516208E0,-1.174043678E-2,-5.756641552E-2,-1.447341405E-3
3.816560208E0,-1.614369452E-2,-6.064086407E-2,1.510801725E-3
3.836605208E0,-2.026147023E-2,-5.119175464E-2,3.686289769E-3
3.856649208E0,-3.223200142E-2,-4.856721312E-2,3.178535495E-3
3.876693208E0,-4.785429314E-2,-5.259135365E-2,1.861305209E-3
3.896737208E0,-5.832211673E-2,-4.614144564E-2,-2.716934774E-3
3.916781208E0,-4.083606601E-2,-1.235392131E-2,-9.706666693E-3
3.936825208E0,-3.145367140E-3,4.502841458E-2,-1.104912162E-2
3.956869208E0,3.980106488E-2,1.020242125E-1,-7.464934606E-4
3.976913208E0,5.181556568E-2,1.294655800E-1,7.132015191E-3
3.996958208E0,4.688629135E-2,1.346053332E-1,6.292130798E-3
4.017002208E0,2.905779518E-2,9.983013570E-2,-1.069097221E-2
4.037046208E0,2.779027075E-2,6.619855762E-2,-2.861933969E-2
4.057090208E0,3.024999611E-2,6.752003729E-2,-5.116430297E-2
4.077134208E0,4.225532338E-2,6.320677698E-2,-5.324123800E-2
4.097178208E0,6.105431914E-2,5.909720436E-2,-3.641330451E-2
4.117222208E0,5.656905100E-2,4.366194457E-2,-2.066131495E-2
4.137266208E0,4.346940294E-2,5.202687159E-2,-2.134482004E-2
4.157311208E0,4.099874198E-2,4.719607159E-2,-2.896162309E-2
4.177355208E0,4.954138398E-2,7.774113864E-2,-3.706378862E-2
4.197399208E0,7.040434331E-2,1.264885515E-1,-3.738830239E-2
4.217443208E0,9.541483223E-2,1.674823761E-1,-2.063435316E-2
4.237487208E0,9.592545033E-2,1.789401472E-1,-5.345274229E-3
4.257531208E0,6.281907856E-2,1.192652583E-1,2.349267015E-4
4.277575208E0,1.576311700E-2,9.416680783E-3,-3.536517732E-3
4.297620208E0,-2.661882341E-2,-8.962160349E-2,-1.978096738E-2
4.317664208E0,-7.020562887E-2,-1.907737255E-1,-3.783785924E-2
