"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.111701625E0,-2.010992169E-2,-1.935238577E-2,-1.144812675E-3
4.131743625E0,-1.831922494E-2,-3.417923674E-2,-4.020008259E-3
4.151785625E0,-9.400489740E-3,-4.287428409E-2,-9.304016829E-3
4.171827625E0,-9.143021889E-3,-2.903831378E-2,-1.014140062E-2
4.191869625E0,4.993442446E-3,-2.104738355E-2,-8.426438086E-3
4.211911625E0,9.659435600E-3,-3.863690048E-2,-6.073751487E-3
4.231953625E0,-4.067028873E-3,-3.754367679E-2,-1.107436884E-2
4.251995625E0,-1.132962853E-2,-4.027374089E-2,-1.535127871E-2
4.272037625E0,-1.213276573E-2,-2.932263911E-2,-1.379346289E-2
4.292079625E0,-6.942121778E-3,-1.305434480E-2,-8.066875860E-3
4.312121625E0,-3.745043650E-4,-8.905129507E-3,7.547426503E-4
4.332163625E0,-6.638589315E-3,7.821766194E-4,-6.773935631E-3
4.352205625E0,-2.130501904E-2,2.327670716E-2,-1.011412498E-2
4.372247625E0,-4.373774305E-2,1.107392646E-2,-9.347575717E-3
4.392289625E0,-4.905164242E-2,-1.021337137E-2,-1.819721237E-2
4.412331625E0,-4.309933633E-2,-4.064557608E-3,-3.311837465E-2
4.432373625E0,-2.368276939E-2,-1.760548912E-4,-3.070283122E-2
4.452415625E0,2.072544768E-2,1.195569895E-2,-2.785873413E-2
4.472457625E0,3.850316629E-2,3.505193442E-2,-3.900286928E-2
4.492499625E0,5.263844877E-2,4.612236843E-2,-4.146991670E-2
4.512541625E0,4.095382988E-2,1.753652841E-2,-4.993211105E-2
4.532583625E0,1.182631962E-2,-3.028989956E-2,-6.000643969E-2
4.552625625E0,2.106008306E-2,-1.380468719E-2,-5.990295857E-2
4.572667625E0,7.396556437E-3,-8.493673988E-3,-4.445902631E-2
4.592709625E0,-4.040417261E-3,-3.550869972E-2,-2.062284760E-2
4.612751625E0,-4.700361751E-4,-9.153163061E-3,-1.725118980E-2
4.632793625E0,-1.135498751E-2,-4.193987232E-3,-1.808669232E-2
4.652835625E0,-1.753158495E-2,-2.926799282E-2,-1.019774843E-2
4.672877625E0,-1.941705495E-2,-3.548675776E-2,-1.343984809E-2
4.692919625E0,-5.580062792E-2,5.366663449E-3,-1.767720282E-2
4.712961625E0,-8.147235215E-2,9.905494750E-2,-3.512354940E-2
4.733003625E0,-1.275786906E-1,4.685579613E-2,-8.154923469E-2
4.753045625E0,-2.465393990E-1,-8.154431731E-2,-9.399115294E-2
4.773086958E0,-4.537483752E-1,-1.456544399E-1,-8.915431798E-2
4.793128958E0,-6.582630277E-1,-1.666245311E-1,-4.013548419E-2
4.813170958E0,-8.427433968E-1,-1.834045798E-1,1.371443272E-2
4.833212958E0,-1.057659268E0,-1.004047245E-1,7.056762278E-2
4.853254958E0,-1.330763102E0,1.324182842E-2,1.509137005E-1
4.873296958E0,-1.542197347E0,3.400065601E-1,2.759660780E-1
4.893337958E0,-1.500759125E0,1.032642961E0,2.867725790E-1
4.913379958E0,-1.620459914E0,1.981803656E0,1.401177645E-1
4.933421958E0,-1.885161042E0,2.171774626E0,5.241753906E-2
4.953463958E0,-1.930943847E0,1.735569954E0,6.543436646E-2
4.973505958E0,-1.490357161E0,1.172832608E0,3.980531171E-2
4.993547958E0,-1.066231728E0,7.621699572E-1,2.886454575E-2
5.013589958E0,-9.479439259E-1,3.930020034E-1,6.620498002E-2
5.033631958E0,-7.142579556E-1,3.158420324E-1,1.370422095E-1
5.053673958E0,-4.950199127E-1,4.263486266E-1,2.096146494E-1
5.073715958E0,-3.708697557E-1,4.585464895E-1,3.109582961E-1
5.093757958E0,-2.118261904E-1,3.637019098E-1,3.904522359E-1
5.113799958E0,-8.135191351E-2,2.763849497E-1,3.684014380E-1
5.133841958E0,1.218541339E-2,3.640371263E-1,1.914592683E-1
5.153883958E0,-3.784631938E-2,5.105972886E-1,5.621547624E-2
5.173925958E0,-1.035430953E-1,5.677378178E-1,-6.443288922E-2
5.193967958E0,-1.675745547E-1,5.450812578E-1,-2.405439019E-1
5.214009958E0,-1.204477847E-1,3.127449751E-1,-2.809253037E-1
5.234051958E0,-5.213917792E-2,1.248590946E-1,-2.370557338E-1
5.254093958E0,-3.222631663E-2,7.490178198E-2,-2.128752470E-1
5.274135958E0,-4.509390518E-2,1.200431362E-1,-2.076581717E-1
5.294177958E0,-9.459679015E-3,2.924467921E-1,-1.709083915E-1
5.314219958E0,6.587348133E-2,3.835324347E-1,-1.469082683E-1
5.334261958E0,1.455301642E-1,2.447192222E-1,-1.049169600E-1
5.354303958E0,2.691950202E-1,7.269670814E-2,-2.501804940E-2
5.374345958E0,4.303977191E-1,7.941962034E-2,7.637022436E-2
5.394387958E0,5.210950375E-1,1.494025141E-1,1.984986663E-1
5.414429958E0,6.128217578E-1,1.450927407E-1,2.969310880E-1
5.434471958E0,5.857781172E-1,1.690159887E-1,3.561753929E-1
5.454513958E0,6.657439470E-1,2.347666025E-1,3.505914807E-1
5.474555958E0,9.496566057E-1,-2.792184055E-1,5.243119225E-2
5.494597958E0,1.281908512E0,-1.037981749E0,-8.578400612E-1
5.514639958E0,5.921186209E-1,-1.232770443E0,-8.831125498E-1
5.534680958E0,-3.677530587E-1,-4.201366007E-1,3.111381531E-1
5.554722958E0,2.094817162E-1,-4.987245798E-1,1.886434406E-1
5.574764958E0,1.113987923E0,-1.590010643E0,-5.401904583E-1
5.594806958E0,1.490676761E0,-1.819464922E0,-7.961063385E-1
5.614848958E0,1.083501101E0,-1.564873219E0,-4.580182135E-1
5.634890958E0,6.857920885E-1,-8.269386888E-1,1.498252526E-2
5.654932958E0,7.351027727E-1,-3.844050169E-1,2.692006528E-1
5.674974958E0,9.327407479E-1,-2.066358328E-1,4.243257940E-1
5.695016958E0,1.095146894E0,-6.098429561E-1,3.459410965E-1
5.715058958E0,1.034344435E0,-1.149474740E0,3.218110502E-1
5.735100958E0,7.351493239E-1,-1.587896585E0,3.051959872E-1
5.755142958E0,4.945065379E-1,-1.577178001E0,2.079251558E-1
5.775185208E0,5.016255975E-1,-1.033390403E0,1.919193566E-1
5.795227208E0,5.894041061E-1,-7.653730512E-1,2.141778022E-1
5.815269208E0,4.924213290E-1,-8.450396061E-1,1.764620095E-1
5.835311208E0,3.920912147E-1,-9.079269767E-1,1.411599666E-1
5.855353208E0,4.126402140E-1,-8.963542581E-1,2.009000778E-1
5.875395208E0,4.265290797E-1,-8.479677439E-1,2.368560880E-1
5.895437208E0,5.148086548E-1,-7.174912691E-1,1.829261482E-1
5.915479208E0,6.238573194E-1,-6.445099711E-1,8.098436147E-2
5.935521208E0,5.942581296E-1,-6.329355240E-1,-1.780647412E-2
5.955563208E0,5.698347092E-1,-6.368923783E-1,-9.942371398E-2
5.975605208E0,5.431667566E-1,-6.066571474E-1,-1.451863199E-1
5.995647208E0,6.018319130E-1,-5.929018259E-1,-1.726358235E-1
6.015689208E0,6.836966872E-1,-5.951581001E-1,-1.721189022E-1
6.035731208E0,6.926738620E-1,-6.083340049E-1,-1.653361768E-1
6.055772208E0,5.657448769E-1,-5.814184546E-1,-1.549903899E-1
6.075814208E0,3.454154432E-1,-5.255157948E-1,-1.514611691E-1
6.095856208E0,1.193988249E-1,-5.579911470E-1,-1.704796106E-1
6.115898208E0,3.144279867E-2,-6.072428226E-1,-1.164149120E-1
6.135940208E0,1.418069750E-1,-6.121358871E-1,-7.549289614E-2
6.155982208E0,1.819413751E-1,-4.936948121E-1,-8.588065207E-2
6.176024208E0,6.810726970E-2,-3.383883834E-1,-4.851855338E-2
6.196066208E0,-1.251157969E-1,-2.369737923E-1,-4.669101164E-2
6.216108208E0,-3.575788736E-1,-2.543994188E-1,4.807208851E-2
6.236150208E0,-7.880896926E-1,-4.546725750E-2,2.396545857E-1
6.256192208E0,-1.246894956E0,4.077525437E-1,3.831827939E-1
6.276234208E0,-1.644515634E0,5.913967490E-1,4.058260918E-1
6.296276208E0,-2.240111589E0,3.142250776E-1,4.800986648E-1
6.316318208E0,-2.674837112E0,-2.925421298E-1,2.699330449E-1
6.336360208E0,-2.584995985E0,-7.141309381E-1,-9.479124844E-2
6.356402208E0,-2.307459354E0,-1.155507445E0,-1.169812083E-1
6.376444208E0,-1.983128786E0,-1.349230170E0,9.843333811E-2
6.396486208E0,-1.710390091E0,-5.191892385E-1,2.236830145E-1
6.416528208E0,-1.513382196E0,1.329052448E0,2.565925717E-1
6.436570208E0,-1.427530885E0,2.673153400E0,2.833375633E-1
6.456612208E0,-1.553173304E0,2.525837421E0,2.735837400E-1
6.476654208E0,-1.618924737E0,1.729384065E0,3.415576816E-1
6.496695208E0,-1.507914424E0,1.305976987E0,3.346521258E-1
6.516737208E0,-1.326851249E0,1.460561037E0,3.396345377E-1
6.536779208E0,-1.219010830E0,1.806313872E0,4.080228508E-1
6.556821208E0,-1.115720391E0,1.953841329E0,4.216660261E-1
6.576863208E0,-8.483339548E-1,1.792395115E0,3.858993948E-1
6.596905208E0,-5.627521873E-1,1.650558352E0,3.278557062E-1
6.616947208E0,-2.543800473E-1,1.338065267E0,2.757475972E-1
6.636989208E0,6.678859144E-2,8.001019359E-1,1.684905589E-1
6.657031208E0,3.763009608E-1,2.683781087E-1,1.046908125E-1
6.677073208E0,6.688356996E-1,-5.688955635E-2,2.476944588E-2
6.697115208E0,8.779768348E-1,-1.505432576E-1,-9.074830264E-2
6.717157208E0,9.284571409E-1,2.191184461E-2,-1.936517656E-1
6.737199208E0,8.872196674E-1,3.249781728E-1,-2.096941769E-1
6.757241208E0,7.694138885E-1,6.870243549E-1,-1.832160056E-1
6.777283583E0,4.316646755E-1,1.052412152E0,-1.060344204E-1
6.797325583E0,-1.628459394E-1,1.304196596E0,1.852605343E-1
6.817367583E0,-5.460936427E-1,1.196266055E0,3.315638304E-1
6.837409583E0,-4.365771413E-1,7.002673149E-1,4.068254530E-1
6.857451583E0,-2.055941820E-1,2.562671304E-1,4.612808526E-1
6.877492583E0,2.910540253E-2,8.107066154E-1,2.962427735E-1
6.897534583E0,2.331979573E-1,1.691356182E0,2.559775114E-2
6.917576583E0,5.569003820E-1,1.235501170E0,-6.965314746E-1
6.937618583E0,5.215682983E-1,-2.312867492E-1,-1.048159361E0
6.957660583E0,-7.638467848E-2,-3.833731413E-1,5.923646688E-1
6.977702583E0,3.778190315E-1,-2.242474109E-1,1.114124417E0
6.997744583E0,9.137509465E-1,-1.500600815E0,-2.650587559E-1
7.017786583E0,8.979793787E-1,-5.294948220E-1,-1.369230628E0
7.037828583E0,1.858931184E0,-6.779834032E-1,-1.452109456E0
7.057870583E0,2.757424593E0,-1.238950372E0,-7.107962370E-1
7.077912583E0,1.615621448E0,-8.245930076E-1,1.530408114E-1
7.097954583E0,2.499280423E-1,-9.446689487E-2,3.737365603E-1
7.117996583E0,5.939380527E-1,-1.617437899E-1,2.375958562E-1
7.138038583E0,1.359960079E0,-1.674349010E-1,1.752762496E-1
7.158080583E0,1.548937201E0,-5.087007284E-1,2.568137459E-2
7.178122583E0,1.271110654E0,-1.759166956E0,4.910898209E-2
7.198164583E0,9.244892001E-1,-2.488403082E0,1.747915000E-1
7.218206583E0,7.843074799E-1,-1.612375617E0,2.888515592E-2
7.238248583E0,1.014338851E0,-2.348507792E-1,-1.574843973E-1
7.258289583E0,1.156450748E0,3.238746524E-2,-1.566627175E-1
7.278331583E0,1.166881323E0,-6.008805037E-1,3.019409440E-2
7.298373583E0,8.969380856E-1,-1.178070426E0,1.789739728E-1
