Time (s),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,activity_label
102.3988524,-0.6803352356,9.860594788,-0.3052153015,0.4831233919,1.559442639,0.275782913,5
102.4188934,-0.516126709,10.00070343,0.008681945801,0.2991730869,1.45308423,0.2452720851,5
102.4389344,-0.3888912964,10.01058289,-0.01437011719,0.2332185507,1.539003491,0.2163868546,5
102.4589764,-0.4297563171,9.701625366,-0.4638853455,0.2701145411,1.301808238,0.2173240036,5
102.4790174,-0.384250946,9.504036255,-0.8042774963,0.2408812046,1.096467137,0.2210179418,5
102.4990594,-0.674197998,9.634265442,-0.9213340759,0.1810638756,1.055919766,0.2073791027,5
102.5191004,-1.304836578,9.545050964,-1.138083344,0.1874820143,0.9202306867,0.2496279627,5
102.5391414,-1.825753326,9.659712524,-1.405128021,0.2516223192,0.7152850628,0.2918757796,5
102.5591834,-2.454745331,9.771979065,-1.159039764,0.2413051724,0.5995131135,0.3267503977,5
102.5792244,-2.781515808,10.06985962,-0.3326083374,0.2297738791,0.7017048001,0.3640119731,5
102.5992654,-2.27347229,10.03917343,0.5653742981,0.2919348478,1.143434286,0.3262901008,5
102.6193075,-1.478325806,9.542356567,0.2821632385,0.1938551813,1.580837488,0.1625645757,5
102.6393485,-0.7939489746,9.299262085,-0.5486091614,-0.3080887198,1.362376928,-0.09786792099,5
102.6593895,-0.7411088562,9.335786133,0.07888595581,-0.5553737283,0.211666435,-0.2186162919,5
102.6794315,-0.6038442993,9.344019012,1.063538361,-0.3040388525,-0.190424636,-0.114725247,5
102.6994725,-0.2450404358,9.825867004,-0.1082249451,-0.02077543922,0.1777342856,-0.02433126234,5
102.7195145,-0.5584886169,10.01956421,-0.8622070313,0.03783594072,0.2934468091,0.0346654281,5
102.7395555,-1.011596375,9.877958679,0.1893562317,0.06733891368,0.4680987298,0.04277458042,5
102.7595965,-1.518891449,9.76673996,0.4873864746,0.1680563241,0.6262022257,0.02204411104,5
102.7796385,-1.274599457,9.533674622,0.04849914551,0.159207508,0.5741239786,-0.0557558015,5
102.7996795,-0.8622070313,9.503886566,-0.8548722839,-0.0470697619,0.4508982301,-0.1108981296,5
102.8197205,-1.006956024,9.708361359,-0.9364526367,-0.1839817464,0.4097799957,-0.08356600255,5
102.8397625,-1.271306305,9.799671478,-0.3912863159,-0.03810722381,0.5223530531,-0.01992624253,5
102.8598035,-1.437909851,9.768386536,-0.4749623108,0.1066817865,0.5189094543,0.04950647056,5
102.8798445,-1.622176666,9.784552917,-0.303868103,0.1094388887,0.4791017175,0.06687497348,5
102.8998865,-1.650168457,9.838141479,-0.172591095,0.05495474488,0.4741895497,0.02172132581,5
102.9199275,-1.707948303,9.86852829,-0.2417472839,-0.02994963154,0.2694191337,0.001522765844,5
102.9399695,-1.561552734,9.767189026,0.3192860413,-0.0280268956,0.1588195115,0.006645467598,5
102.9600105,-1.182690582,9.595795441,-0.1285826111,-0.0441015996,0.08255346864,0.003369335551,5
102.9800515,-1.188977509,9.64264801,-0.6869215393,-0.1128130257,-0.1742887199,0.005540610757,5
103.0000935,-1.553319855,9.667346649,-0.3198847961,-0.06873877347,-0.2482899427,0.0313013196,5
103.0201345,-1.53520752,9.485025787,-0.1480421448,0.05302128568,0.04531264305,0.006855370943,5
103.0401755,-1.575922852,9.743687897,-0.5783972168,0.05171500891,0.05689305812,-0.01177946944,5
103.0602175,-1.494492188,9.629475403,0.08202941895,0.06152096391,-0.008652760647,-0.002180572134,5
103.0802585,-1.272054749,9.600435791,-0.1968406677,0.04184219986,-0.08130501211,-0.0150940828,5
103.1002995,-1.35962265,9.776469727,-0.450712738,-0.0394853428,-0.3086349964,0.003559696721,5
103.1203415,-1.505569153,9.876461792,-0.1984872437,-0.05327073112,-0.3317060173,0.007898801938,5
103.1403825,-1.473835144,9.818083191,-0.1320254517,-0.02981107868,-0.1512263864,-0.001317422371,5
103.1604245,-1.316212921,9.7502742,-0.1466949463,-0.05424491316,-0.145366326,0.005342532415,5
103.1804655,-1.139879608,9.692194977,0.01107696533,-0.08486834168,-0.2053975165,0.003324751044,5
103.2005065,-1.047072601,9.720785522,0.0470022583,-0.1104711741,-0.2474026978,-0.001802680315,5
103.2205485,-0.9337582397,9.686207428,-0.1209484863,-0.09647772461,-0.2570519149,-0.004437068477,5
103.2405895,-0.9364526367,9.835896149,-0.3031196594,-0.0796251744,-0.2981829941,0.006926526316,5
103.2606305,-0.8833131409,9.625583496,-0.1582209778,-0.03035309911,-0.1519608647,0.02161631547,5
103.2806725,-1.039588165,9.643097076,-0.1728904724,0.009506366216,-0.0851939097,0.03488264605,5
103.3007135,-1.248553619,9.771080933,-0.06047424316,0.03993291408,-0.1128578186,0.03202277422,5
103.3207555,-1.273551636,9.795180817,-0.07559280396,0.02594386227,-0.1500404477,0.02071433887,5
103.3407965,-1.209933929,9.780211945,-0.1930984497,-0.01585285366,-0.2139750421,0.005571627058,5
103.3608375,-1.0975177,9.673483887,-0.155975647,-0.04349812865,-0.2549699545,-0.002557529602,5
103.3808795,-0.9665400696,9.585915985,-0.3014730835,-0.05053699389,-0.1840856075,-0.01266782731,5
103.4009205,-0.8461903381,9.701924744,-0.09175918579,-0.04854435101,-0.1196780652,-0.01249207091,5
