"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.821354167E-1,4.273313599E0,7.483837280E0,3.578308868E0
7.021774167E-1,4.781057739E0,6.449488220E0,3.383114777E0
7.222194167E-1,4.715643768E0,6.902595978E0,3.465593262E0
7.422614167E-1,4.702770538E0,6.325396271E0,3.579955444E0
7.623034167E-1,4.640500031E0,6.985822906E0,3.524121552E0
7.823454167E-1,2.092947693E0,8.991352386E0,4.895868988E0
8.023874167E-1,4.043092346E0,6.620133362E0,4.543651428E0
8.224294167E-1,4.493954773E0,6.443350983E0,3.843108215E0
8.424714167E-1,4.894372101E0,6.467001801E0,3.316652985E0
8.625138333E-1,6.781348114E0,7.740852814E0,3.620521088E0
8.825558333E-1,6.425388336E0,8.046068115E0,6.256240082E0
9.025978333E-1,9.733958130E0,8.066874847E0,4.665797424E0
9.226398333E-1,8.456813965E0,8.065677338E0,4.468058624E0
9.426818333E-1,4.760550385E0,8.400531006E0,3.415148163E0
9.627238333E-1,2.251318359E0,8.919501801E0,2.635419617E0
9.827658333E-1,3.092419281E0,9.012159119E0,2.347867584E0
1.002807833E0,5.358556824E0,7.900420990E0,3.449576569E0
1.022849833E0,4.802612915E0,7.530240784E0,3.915557556E0
1.042891833E0,4.226161652E0,7.794291687E0,2.886597290E0
1.062933833E0,4.173171844E0,7.691006470E0,2.600691833E0
1.082975833E0,4.281097412E0,7.922874298E0,2.528841248E0
1.103017833E0,4.764591980E0,8.107141113E0,3.252885590E0
1.123059833E0,4.750670929E0,8.296197968E0,4.334236908E0
1.143101833E0,4.764591980E0,8.638985138E0,3.891008606E0
1.163142833E0,4.611011353E0,8.640931091E0,3.718118134E0
1.183184833E0,4.586761780E0,7.317982178E0,4.207899628E0
1.203226833E0,4.102219391E0,6.763834534E0,2.342628479E0
1.223268833E0,6.113137665E0,7.503895569E0,2.448308716E0
1.243310833E0,5.249583435E0,7.007078705E0,2.903661804E0
1.263352833E0,3.908971252E0,7.732021179E0,2.455044708E0
1.283394833E0,4.992717590E0,7.744445343E0,2.849175110E0
1.303436833E0,4.375700684E0,7.967780914E0,2.876568146E0
1.323478833E0,2.405946808E0,8.489595795E0,4.039350128E0
1.343520833E0,1.161883850E0,7.653135223E0,5.399421844E0
1.363562833E0,1.442699890E0,8.313412170E0,2.679428101E0
1.383604833E0,1.654060364E0,8.250093842E0,1.355131989E0
1.403646833E0,1.171014862E0,7.782615967E0,1.872456207E0
1.423688833E0,1.137484589E0,7.603588257E0,3.245550842E0
1.443730833E0,1.046623535E0,6.866970062E0,2.814597015E0
1.463772833E0,1.262923737E0,1.336405930E1,3.007246399E0
1.483814833E0,1.694476318E-1,2.003358994E1,2.143692169E0
1.503856833E0,-3.407364349E0,1.305300613E1,7.490423584E-1
1.523898833E0,-3.493884430E0,6.631210327E0,1.464853821E0
1.543940833E0,-4.498595123E0,6.850204926E0,4.005520477E0
1.563982833E0,-4.876708832E0,9.183253326E0,4.161346436E0
1.584024833E0,-2.467169495E0,9.670789490E0,1.993404694E0
1.604066833E0,-1.415157166E0,9.047036591E0,1.915566559E0
1.624108833E0,-1.835183716E0,9.045539703E0,3.076851654E0
1.644150833E0,-1.764830017E0,9.086404724E0,2.879412231E0
1.664192833E0,-1.799408112E0,9.118737488E0,2.370320892E0
1.684233833E0,-1.671424255E0,9.195527802E0,2.609972534E0
1.704275833E0,-1.779649200E0,9.344019012E0,2.594853973E0
1.724317833E0,-1.610201569E0,9.326355743E0,2.809357910E0
1.744359833E0,-1.422491913E0,9.273365936E0,2.685116272E0
1.764401833E0,-1.431323547E0,9.159303131E0,2.511327667E0
1.784443833E0,-1.386865997E0,9.147178345E0,2.347867584E0
1.804485833E0,-1.190025330E0,9.294022980E0,2.512076111E0
1.824527833E0,-1.036295013E0,9.596843262E0,2.396366730E0
1.844569833E0,-1.033750305E0,9.605076141E0,2.436782684E0
1.864612417E0,-1.157991943E0,9.467961273E0,2.730621643E0
1.884654417E0,-1.012644196E0,9.432634735E0,2.577190704E0
1.904696417E0,-8.512797546E-1,9.455537109E0,2.194586334E0
1.924738417E0,-1.005758514E0,9.406289520E0,2.192191315E0
1.944780417E0,-1.080453186E0,9.449699249E0,2.440375214E0
1.964822417E0,-1.066083069E0,9.454489288E0,2.511028290E0
1.984864417E0,-8.475375366E-1,9.624685364E0,2.443818054E0
2.004906417E0,-8.089178467E-1,9.782008209E0,2.512525177E0
2.024948417E0,-6.089337158E-1,9.710906067E0,2.411036224E0
2.044990417E0,-6.554869080E-1,9.596543884E0,2.321522369E0
2.065032417E0,-5.644761658E-1,9.674831085E0,2.352208557E0
2.085074417E0,-7.536827087E-1,9.555379486E0,2.437680817E0
2.105115417E0,-6.295907593E-1,9.412576447E0,2.642155609E0
2.125157417E0,-4.510121155E-1,9.250164185E0,2.591860199E0
2.145199417E0,-5.486091614E-1,9.404942322E0,2.483784943E0
2.165241417E0,-5.535488892E-1,9.644444275E0,2.258802795E0
2.185283417E0,-7.744894409E-1,9.490264893E0,2.406994629E0
